HRB,20120308,-0.045369
YUM,20120207,0.026903
GNW,20120110,0.023634
GNW,20120201,0.020752
GNW,20120203,0.098259
GNW,20120210,-0.022447
GNW,20120213,0.021739
GNW,20120306,-0.020202
CMCSA,20120215,0.063486
HIG,20120109,0.026878
HIG,20120215,0.049470
HIG,20120321,0.056195
AMT,20120227,-0.023535
WAG,20120207,-0.022754
WAG,20120327,0.026477
C,20120110,0.023040
C,20120113,-0.043987
C,20120117,-0.050748
C,20120119,0.026180
C,20120124,-0.022111
C,20120203,0.026883
C,20120210,-0.020499
C,20120306,-0.027316
C,20120314,-0.032922
BEN,20120111,-0.057073
UPS,20120113,-0.020739
V,20120209,0.043470
FSLR,20120110,0.020630
FSLR,20120117,0.032315
FSLR,20120130,-0.023057
FSLR,20120131,0.035616
FSLR,20120201,0.028619
FSLR,20120203,0.025257
FSLR,20120210,-0.050377
FSLR,20120214,-0.043145
FSLR,20120217,0.084110
FSLR,20120223,-0.043016
FSLR,20120229,-0.074176
FSLR,20120314,0.024890
FSLR,20120404,-0.022566
KMX,20120302,0.047237
KMX,20120405,-0.027491
PCL,20120131,-0.022954
KEY,20120201,0.021879
K,20120202,0.033462
K,20120215,0.048509
BIG,20120202,0.082427
BIG,20120329,-0.032683
STT,20120118,-0.042339
STT,20120316,0.026178
AA,20120106,-0.029915
AA,20120110,0.028632
SHLD,20120112,-0.058055
SHLD,20120130,0.021335
SHLD,20120201,0.023493
SHLD,20120223,0.152074
SHLD,20120404,-0.041140
DE,20120215,-0.020887
DFS,20120127,-0.022175
KLAC,20120127,0.023677
KLAC,20120221,-0.024118
NSC,20120125,-0.022920
MTB,20120109,-0.020264
MTB,20120117,-0.020160
GILD,20120203,0.083147
GILD,20120217,-0.160737
CMS,20120223,0.020446
BK,20120117,0.023776
BK,20120118,-0.039022
RHT,20120316,-0.021486
RHT,20120329,0.069080
BRCM,20120109,0.024552
BRCM,20120110,0.022992
BRCM,20120119,0.029385
BRCM,20120125,0.023282
BRCM,20120201,0.036099
BRCM,20120227,-0.020408
RHI,20120127,-0.031922
RHI,20120203,0.022412
RHI,20120329,-0.028197
EMC,20120112,0.029878
EMC,20120124,0.037116
EMC,20120306,-0.035917
ADBE,20120127,-0.022771
ADBE,20120320,-0.032744
BAC,20120110,0.027113
BAC,20120113,-0.044183
BAC,20120119,0.060294
BAC,20120130,-0.021948
BAC,20120203,0.028188
BAC,20120209,0.022140
BAC,20120213,0.024783
BAC,20120306,-0.023839
BAC,20120314,0.020024
DHI,20120309,0.026786
DHI,20120323,-0.032425
PNW,20120110,0.020573
FTI,20120215,-0.036452
FTI,20120329,0.039628
FDO,20120106,-0.025190
FDO,20120403,0.025310
CFN,20120109,-0.035322
CFN,20120222,-0.021847
ADSK,20120402,-0.022212
ADSK,20120405,-0.020838
ISRG,20120120,-0.062467
MYL,20120125,-0.022553
MYL,20120214,0.021777
WDC,20120105,0.036422
WDC,20120124,0.038029
WDC,20120201,0.040715
WDC,20120322,0.023067
BLL,20120112,0.020049
UNH,20120119,-0.030219
BLK,20120206,-0.024544
ETFC,20120117,-0.029221
ETFC,20120126,-0.087607
ETFC,20120319,0.021739
LTD,20120202,0.021241
TAP,20120124,-0.021364
TAP,20120216,0.031692
CVC,20120308,0.021536
GS,20120110,0.028197
GS,20120113,-0.031716
GS,20120125,-0.024249
GS,20120306,-0.021158
ICE,20120208,0.026146
ICE,20120314,-0.021704
DVN,20120210,-0.029896
DVN,20120213,0.020572
STJ,20120402,-0.022343
STJ,20120404,-0.037900
PFG,20120110,0.020959
NBR,20120110,0.022361
NBR,20120210,-0.021516
NBR,20120224,0.030455
NBR,20120306,-0.020369
NBR,20120322,-0.020608
NBR,20120404,-0.023269
EXPD,20120216,0.033663
PCAR,20120131,0.041195
PCAR,20120201,0.022172
PKI,20120203,0.068854
FRX,20120117,0.029773
AIG,20120201,0.021904
AIG,20120224,0.065380
AIG,20120306,-0.025008
AIG,20120308,-0.029202
SRE,20120403,0.020281
ROK,20120111,0.022575
TXT,20120111,0.050074
TXT,20120118,-0.024919
TXT,20120125,0.109671
TXT,20120306,-0.027160
AN,20120126,0.045680
ANF,20120202,-0.110613
ANF,20120215,0.108993
ANF,20120402,0.024793
APOL,20120106,0.031832
APOL,20120130,-0.026809
APOL,20120228,-0.144163
APOL,20120327,-0.068981
BHI,20120110,0.021714
BHI,20120124,-0.036246
BHI,20120321,-0.037432
CTSH,20120112,-0.038987
CTSH,20120208,-0.031246
JOY,20120110,0.021875
JOY,20120306,-0.028658
R,20120202,-0.070074
GCI,20120130,-0.025624
GCI,20120207,-0.024439
CERN,20120208,0.083267
LLY,20120105,-0.031442
SCHW,20120106,-0.020134
SCHW,20120113,-0.022454
SCHW,20120117,0.032895
SCHW,20120126,-0.023888
SCHW,20120203,0.023927
RL,20120109,0.034471
RL,20120111,-0.021993
RL,20120208,0.086840
AMZN,20120201,-0.106100
AMZN,20120216,-0.036212
AMZN,20120402,-0.022172
AMD,20120125,-0.038285
AMD,20120210,-0.022099
AMD,20120213,0.026950
AMD,20120306,-0.022631
AMD,20120315,0.025773
AMD,20120405,-0.025608
BSX,20120106,0.035581
BSX,20120117,0.023551
